db,test,sysUnit,title,comments,SiO2,Al2O3,CaO,MgO,FeO,K2O,Na2O,TiO2,O,MnO,Cr2O3,H2O,CO2,S
mtl,0,mol,KLB-1,"Holland et al., 2013",38.494,1.776,2.824,50.566,5.886,,0.25,,,,,,,
mtl,1,mol,Pyrolite,"Holland et al., 2013",38.89,2.2,3.1,50.0,5.8,,0.01,,,,,,,
mtl,2,mol,Harzburgite,"Holland et al., 2013",36.39,0.7,0.9,56.6,5.4,,0.01,,,,,,,
sb11,0,mol,KLB-1,Stixrude & Lithgow-Bertelloni (2011),38.41,1.8,3.18,50.49,5.85,,0.25,,,,,,,
sb11,1,mol,Pyrolite,Stixrude & Lithgow-Bertelloni (2011),38.89,3.1,2.2,50.0,5.8,,0.01,,,,,,,
sb11,2,mol,Harzburgite,Stixrude & Lithgow-Bertelloni (2011),36.39,0.9,0.7,56.6,5.4,,0.01,,,,,,,
sb11,3,mol,Bulk DMM,"Workman & Hart, 2005",38.82533751228409,2.949115292540495,2.0365437262790334,50.13984011481426,5.939734393438787,,0.10942896064333986,,,,,,,
sb11,4,mol,RE46 - Icelandic basalt,"Yang et al., 1996",50.72,9.16,15.21,16.25,7.06,,1.47,,,,,,,
sb21,0,mol,KLB-1,Stixrude & Lithgow-Bertelloni (2021),38.41,1.8,3.18,50.49,5.85,,0.25,,,,,,,
sb21,1,mol,Pyrolite,Stixrude & Lithgow-Bertelloni (2021),38.89,3.1,2.2,50.0,5.8,,0.01,,,,,,,
sb21,2,mol,Harzburgite,Stixrude & Lithgow-Bertelloni (2021),36.39,0.9,0.7,56.6,5.4,,0.01,,,,,,,
sb21,3,mol,Bulk DMM,"Workman & Hart, 2005",38.82533751228409,2.949115292540495,2.0365437262790334,50.13984011481426,5.939734393438787,,0.10942896064333986,,,,,,,
sb21,4,mol,RE46 - Icelandic basalt,"Yang et al., 1996",50.72,9.16,15.21,16.25,7.06,,1.47,,,,,,,
sb24,0,mol,Basalt,Stixrude & Lithgow-Bertelloni (2024),48.295,9.483,12.87,13.951,5.69,,2.071,,1.16,,0.027,,,
sb24,1,mol,Pyrolite,Stixrude & Lithgow-Bertelloni (2024),38.83,2.03,2.94,50.02,5.69,,0.11,,0.18,,0.19,,,
sb24,2,mol,Harzburgite,Stixrude & Lithgow-Bertelloni (2024),34.009,0.461,0.755,53.617,5.46,,0.008,,0.081,,0.093,,,
po,0,mol,Pelite - water oversaturated,"White et al., 2014, Fig 8 (H2O/O adapted for po)",64.578,13.651,1.586,5.529,8.025,2.943,2.0,0.907,0.0,,,13.5,,
mbe,0,mol,FWorldMedian metabasite - water over saturated,"Forshaw et al., 2024",53.5839,9.5138,10.7349,10.6198,10.0168,0.3326,2.852,1.0439,1.3023,,,40.0,,
mbe,1,mol,FWorldMedian metabasite - water undersaturated,"Forshaw et al., 2024",53.5839,9.5138,10.7349,10.6198,10.0168,0.3326,2.852,1.0439,1.3023,,,5.0,,
mbe,2,mol,SM89 oxidised average MORB composition,"Sun & McDonough, 1989",52.47,9.1,12.21,12.71,8.15,0.23,2.61,1.05,1.47,,,20.0,,
mbe,3,mol,Natural amphibolites and low-temperature granulites,unpublished,51.08,9.68,13.26,11.21,11.66,0.16,0.79,1.37,0.8,,,20.0,,
mbe,4,mol,SQA Synthetic amphibolite composition,"Patino Douce & Beard, 1995",60.05,6.62,8.31,9.93,6.57,0.44,1.83,1.27,0.33,,,4.64,,
mbe,5,mol,BL478: Sample 478,"Beard & Lofgren, 1991",53.96,9.26,10.15,8.11,10.14,0.11,2.54,1.35,0.98,,,3.42,,
all,0,mol,FPWorldMedian pelite - water oversaturated,"Forshaw, J. B., & Pattison, D. R. (2023)",70.999,12.805,0.771,3.978,6.342,2.7895,1.481,0.758,0.72933,0.075,0.0,30.0,2.0,0.05
all,1,mol,KLB1 Peridotite - Anhydrous,"Holland et al., 2018",38.494,1.776,2.824,50.566,5.886,0.01,0.25,0.1,0.096,0.0,0.109,0.0,0.0,0.0
all,2,mol,RE46 - Icelandic basalt,"Yang et al., 1996",50.72,9.16,15.21,16.25,7.06,0.01,1.47,0.39,0.35,0.0,0.01,0.0,0.0,0.0
